code,company_name,sector,basis,first_year,last_year,company_number,match_basis,match_years
CRN,Caradon,Industrials,"GICS-style classification, reconstructed 2026-08-26",1993,1994,12966997,code_unique,1993-1994
CTE,Celltech Group,Health Care,"GICS-style classification, reconstructed 2026-08-26",2000,2001,02159282,code_unique,2000-2001
CTEC,CONVATEC GROUP PLC,Health Care,"GICS-style classification, reconstructed 2026-08-26",2016,2024,10361298,code_unique,2016-2024
CTLD,Coutaulds,Materials,"GICS-style classification, reconstructed 2026-08-26",1983,1995,SC003388,code_unique,1983-1995
CU.L,Commercial Union Assurance,Financials,"GICS-style classification, reconstructed 2026-08-26",1983,1997,,unresolved_no_composition_record,
CURY,Dixons Carphone,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2014,2016,,unresolved_no_composition_record,
CW.,Cable and Wireless,Communication Services,"GICS-style classification, reconstructed 2026-08-26",1983,2009,00238525,code_unique,1983-2009
CWG,Canary Wharf Group,Real Estate,"GICS-style classification, reconstructed 2026-08-26",2000,2002,04191122,code_unique,2000-2002
DCC,DCC PLC,Industrials,"GICS-style classification, reconstructed 2026-08-26",2015,2024,04709270,code_unique,2015-2024
DDT,Dimension Data Holdings,Information Technology,"GICS-style classification, reconstructed 2026-08-26",2000,2000,03704278,code_unique,2000-2000
DEE,Dee Corporation,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1985,1988,,unresolved_no_composition_record,
DGE,DIAGEO PLC,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1997,2024,00023307,code_unique,1997-2024
DIST,Distillers Company,Consumer Staples,"GICS-style classification, reconstructed 2026-08-26",1983,1985,,unresolved_no_composition_record,
DLAR,De La Rue plc,Industrials,"GICS-style classification, reconstructed 2026-08-26",1992,1994,03834125,code_unique,1992-1994
DLG,Direct Line Insurance Group,Financials,"GICS-style classification, reconstructed 2026-08-26",1983,2018,10274117,code_plus_year_overlap,1983-1990
DMGT,Daily Mail & General Trust,Communication Services,"GICS-style classification, reconstructed 2026-08-26",1999,2005,00184594,code_unique,1999-2005
DPH,Dechra Pharmaceuticals,Health Care,"GICS-style classification, reconstructed 2026-08-26",2021,2023,03369634,code_unique,2021-2023
DPLM,DIPLOMA PLC,Industrials,"GICS-style classification, reconstructed 2026-08-26",2023,2024,03899848,code_unique,2023-2024
DRX,Drax Group,Utilities,"GICS-style classification, reconstructed 2026-08-26",2006,2008,05562053,code_unique,2006-2008
DSG,Dixons Group,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",1985,2004,12620781,code_unique,1985-2004
DSGI,DSG International,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2005,2006,,unresolved_no_composition_record,
DWTY,Dowty Group,Industrials,"GICS-style classification, reconstructed 2026-08-26",1984,1984,,unresolved_no_composition_record,
ECC,English China Clays,Materials,"GICS-style classification, reconstructed 2026-08-26",1983,1992,00154236,code_unique,1983-1992
ECM,Electrocomponents,Industrials,"GICS-style classification, reconstructed 2026-08-26",2000,2001,,unresolved_no_composition_record,
EDIN,Edinburgh Investment Trust,Financials,"GICS-style classification, reconstructed 2026-08-26",1983,1983,SC034993,code_unique,1983-1983
EDV,ENDEAVOUR MINING PLC,Materials,"GICS-style classification, reconstructed 2026-08-26",2022,2024,13280545,code_unique,2022-2024
ELY,Eastern Electricity,Utilities,"GICS-style classification, reconstructed 2026-08-26",1993,1994,,unresolved_no_composition_record,
EMA,Emap,Communication Services,"GICS-style classification, reconstructed 2026-08-26",2002,2004,14696069,code_unique,2002-2004
EMG,Man Group,Financials,"GICS-style classification, reconstructed 2026-08-26",2001,2011,,unresolved_no_composition_record,
EMI,EMI Group,Communication Services,"GICS-style classification, reconstructed 2026-08-26",1983,2001,03158105,code_plus_year_overlap,1983-1995
ENG,Energis,Communication Services,"GICS-style classification, reconstructed 2026-08-26",1999,2000,03438871,code_unique,1999-2000
ENRC,Eurasian Natural Resources Corporation,Materials,"GICS-style classification, reconstructed 2026-08-26",2008,2012,06023510,code_unique,2008-2012
ENT,ENTAIN PLC,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2018,2024,FC037925,code_unique,2018-2024
ESSR,Essar Energy,Energy,"GICS-style classification, reconstructed 2026-08-26",2010,2011,07108619,code_unique,2010-2011
EST,Eagle Star,Financials,"GICS-style classification, reconstructed 2026-08-26",1983,1983,,unresolved_no_composition_record,
ETI,Enterprise Inns,Consumer Discretionary,"GICS-style classification, reconstructed 2026-08-26",2004,2007,10517727,code_unique,2004-2007
ETLN,Eurotunnel,Industrials,"GICS-style classification, reconstructed 2026-08-26",1991,1991,03583610,code_unique,1991-1991
ETP,Enterprise Oil,Energy,"GICS-style classification, reconstructed 2026-08-26",1984,2001,01682048,code_unique,1984-2001
EVR,Evraz,Materials,"GICS-style classification, reconstructed 2026-08-26",2011,2021,07784342,code_unique,2011-2021
EXCO,Exco International,Financials,"GICS-style classification, reconstructed 2026-08-26",1983,1985,,unresolved_no_composition_record,
EXL,Exel,Industrials,"GICS-style classification, reconstructed 2026-08-26",2000,2004,00073975,code_unique,2000-2004
EXPN,EXPERIAN PLC,Industrials,"GICS-style classification, reconstructed 2026-08-26",2006,2024,03720393,code_unique,2006-2024
