code,company_name,sector,first_year,last_year,basis
FER,Ferranti International,Industrials,1983,1985,"GICS-style classification, reconstructed 2026-08-26"
FERG,Ferguson,Industrials,2017,2021,"GICS-style classification, reconstructed 2026-08-26"
FGP,First Group,Industrials,2007,2008,"GICS-style classification, reconstructed 2026-08-26"
FISO,Fisons,Health Care,1983,1992,"GICS-style classification, reconstructed 2026-08-26"
FLG,Friends Life Group Limited,Financials,2014,2014,"GICS-style classification, reconstructed 2026-08-26"
FLTR,Flutter Entertainment,Consumer Discretionary,2019,2023,"GICS-style classification, reconstructed 2026-08-26"
FOR,Forte plc,Consumer Discretionary,1983,1995,"GICS-style classification, reconstructed 2026-08-26"
FP.,Friends Provident,Financials,2001,2007,"GICS-style classification, reconstructed 2026-08-26"
FRAS,Frasers Group,Consumer Discretionary,2013,2023,"GICS-style classification, reconstructed 2026-08-26"
FRES,FRESNILLO PLC,Materials,2009,2024,"GICS-style classification, reconstructed 2026-08-26"
GAA,Granada,Communication Services,1984,2003,"GICS-style classification, reconstructed 2026-08-26"
GAC,General Accident,Financials,1983,1997,"GICS-style classification, reconstructed 2026-08-26"
GAW,GAMES WORKSHOP GROUP PLC,Consumer Discretionary,2024,2024,"GICS-style classification, reconstructed 2026-08-26"
GBT,Globe Investment Trust,Financials,1983,1987,"GICS-style classification, reconstructed 2026-08-26"
GEC,General Electric Company,Industrials,1983,1998,"GICS-style classification, reconstructed 2026-08-26"
GFS,G4S,Industrials,2007,2017,"GICS-style classification, reconstructed 2026-08-26"
GKN,GKN,Industrials,1983,2017,"GICS-style classification, reconstructed 2026-08-26"
GLEN,GLENCORE PLC,Materials,2011,2024,"GICS-style classification, reconstructed 2026-08-26"
GLH,Gallaher Group,Consumer Staples,1998,2006,"GICS-style classification, reconstructed 2026-08-26"
GLXO,Glaxo Wellcome,Health Care,1983,1999,"GICS-style classification, reconstructed 2026-08-26"
GMT,Grand Metropolitan,Consumer Staples,1983,1996,"GICS-style classification, reconstructed 2026-08-26"
GNS,Guinness,Consumer Staples,1985,1996,"GICS-style classification, reconstructed 2026-08-26"
GRE,Guardian Royal Exchange Plc,Financials,1983,1998,"GICS-style classification, reconstructed 2026-08-26"
GSK,GSK PLC,Health Care,2000,2024,"GICS-style classification, reconstructed 2026-08-26"
GUS,GUS,Consumer Discretionary,1983,2005,"GICS-style classification, reconstructed 2026-08-26"
HARC,Harrisons & Crosfield,Materials,1983,1990,"GICS-style classification, reconstructed 2026-08-26"
HAS,Hays,Industrials,1996,2004,"GICS-style classification, reconstructed 2026-08-26"
HAWK,Hawker Siddeley Group,Industrials,1983,1990,"GICS-style classification, reconstructed 2026-08-26"
HBL.L,Allied Hambro,Financials,1983,1984,"GICS-style classification, reconstructed 2026-08-26"
HBOS,HBOS,Financials,1997,2008,"GICS-style classification, reconstructed 2026-08-26"
HIK,HIKMA PHARMACEUTICALS PLC,Health Care,2015,2024,"GICS-style classification, reconstructed 2026-08-26"
