symbol,cik,fiscal_year,shares_outstanding,shares_source_url,market_cap,marketcap_source_url
CDW,0001402057,2025,,https://www.sec.gov/Archives/edgar/data/1402057/000140205726000011/0001402057-26-000011-index.htm,17568926292,https://finance.yahoo.com/quote/CDW/history (month-end close 2025-12-01) x shares
CE,0001306830,2025,,https://www.sec.gov/Archives/edgar/data/1306830/000130683026000031/0001306830-26-000031-index.htm,4632702842,https://finance.yahoo.com/quote/CE/history (month-end close 2025-12-01) x shares
CEG,0001868275,2025,,https://www.sec.gov/Archives/edgar/data/1868275/000186827526000032/0001868275-26-000032-index.htm,127880321669,https://finance.yahoo.com/quote/CEG/history (month-end close 2025-12-01) x shares
CF,0001324404,2025,,https://www.sec.gov/Archives/edgar/data/1324404/000132440426000007/0001324404-26-000007-index.htm,11884746053,https://finance.yahoo.com/quote/CF/history (month-end close 2025-12-01) x shares
CFG,0000759944,2025,,https://www.sec.gov/Archives/edgar/data/759944/000075994426000028/0000759944-26-000028-index.htm,24823295341,https://finance.yahoo.com/quote/CFG/history (month-end close 2025-12-01) x shares
CG,0001527166,2025,,https://www.sec.gov/Archives/edgar/data/1527166/000152716626000009/0001527166-26-000009-index.htm,21348821991,https://finance.yahoo.com/quote/CG/history (month-end close 2025-12-01) x shares
CHD,0000313927,2025,,https://www.sec.gov/Archives/edgar/data/313927/000119312526048139/0001193125-26-048139-index.htm,19846811747,https://finance.yahoo.com/quote/CHD/history (month-end close 2025-12-01) x shares
CHRS,0001512762,2025,,https://www.sec.gov/Archives/edgar/data/1512762/000110465926025308/0001104659-26-025308-index.htm,212843654,https://finance.yahoo.com/quote/CHRS/history (month-end close 2025-12-01) x shares
CHRW,0001043277,2025,,https://www.sec.gov/Archives/edgar/data/1043277/000104327726000009/0001043277-26-000009-index.htm,19069484461,https://finance.yahoo.com/quote/CHRW/history (month-end close 2025-12-01) x shares
CHTR,0001091667,2011,,https://www.sec.gov/Archives/edgar/data/1091667/000109166712000026/0001091667-12-000026-index.htm,5723518355,https://finance.yahoo.com/quote/CHTR/history (month-end close 2011-12-01) x shares
CI,0001739940,2025,,https://www.sec.gov/Archives/edgar/data/1739940/000173994026000006/0001739940-26-000006-index.htm,72530890574,https://finance.yahoo.com/quote/CI/history (month-end close 2025-12-01) x shares
CIEN,0000936395,2025,,https://www.sec.gov/Archives/edgar/data/936395/000162828025056698/0001628280-25-056698-index.htm,28763946380,https://finance.yahoo.com/quote/CIEN/history (month-end close 2025-11-01) x shares
CINF,0000020286,2025,,https://www.sec.gov/Archives/edgar/data/20286/000002028626000008/0000020286-26-000008-index.htm,25415463652,https://finance.yahoo.com/quote/CINF/history (month-end close 2025-12-01) x shares
CL,0000021665,2025,,https://www.sec.gov/Archives/edgar/data/21665/000002166526000006/0000021665-26-000006-index.htm,63338322482,https://finance.yahoo.com/quote/CL/history (month-end close 2025-12-01) x shares
CLF,0000764065,2025,,https://www.sec.gov/Archives/edgar/data/764065/000076406526000025/0000764065-26-000025-index.htm,7574785674,https://finance.yahoo.com/quote/CLF/history (month-end close 2025-12-01) x shares
CLX,0000021076,2025,,https://www.sec.gov/Archives/edgar/data/21076/000002107625000039/0000021076-25-000039-index.htm,14685691302,https://finance.yahoo.com/quote/CLX/history (month-end close 2025-06-01) x shares
CMG,0001058090,2025,,https://www.sec.gov/Archives/edgar/data/1058090/000105809026000009/0001058090-26-000009-index.htm,48189651000,https://finance.yahoo.com/quote/CMG/history (month-end close 2025-12-01) x shares
CMI,0000026172,2025,,https://www.sec.gov/Archives/edgar/data/26172/000002617226000009/0000026172-26-000009-index.htm,70526562275,https://finance.yahoo.com/quote/CMI/history (month-end close 2025-12-01) x shares
CMS,0000811156,2025,,https://www.sec.gov/Archives/edgar/data/811156/000081115626000004/0000811156-26-000004-index.htm,21428013700,https://finance.yahoo.com/quote/CMS/history (month-end close 2025-12-01) x shares
CNC,0001071739,2025,,https://www.sec.gov/Archives/edgar/data/1071739/000107173926000049/0001071739-26-000049-index.htm,20236377400,https://finance.yahoo.com/quote/CNC/history (month-end close 2025-12-01) x shares
CNP,0001130310,2025,,https://www.sec.gov/Archives/edgar/data/1130310/000113031026000008/0001130310-26-000008-index.htm,25031096630,https://finance.yahoo.com/quote/CNP/history (month-end close 2025-12-01) x shares
CNX,0001070412,2025,,https://www.sec.gov/Archives/edgar/data/1070412/000107041226000038/0001070412-26-000038-index.htm,5234877676,https://finance.yahoo.com/quote/CNX/history (month-end close 2025-12-01) x shares
COF,0000927628,2025,,https://www.sec.gov/Archives/edgar/data/927628/000092762826000024/0000927628-26-000024-index.htm,150731341259,https://finance.yahoo.com/quote/COF/history (month-end close 2025-12-01) x shares
COHR,0000820318,2025,,https://www.sec.gov/Archives/edgar/data/820318/000082031825000014/0000820318-25-000014-index.htm,13899406193,https://finance.yahoo.com/quote/COHR/history (month-end close 2025-06-01) x shares
COO,0000711404,2025,,https://www.sec.gov/Archives/edgar/data/711404/000162828025055615/0001628280-25-055615-index.htm,13700824515,https://finance.yahoo.com/quote/COO/history (month-end close 2025-10-01) x shares
COP,0001163165,2025,,https://www.sec.gov/Archives/edgar/data/1163165/000116316526000009/0001163165-26-000009-index.htm,114423168765,https://finance.yahoo.com/quote/COP/history (month-end close 2025-12-01) x shares
COR,0001140859,2025,,https://www.sec.gov/Archives/edgar/data/1140859/000114085925000131/0001140859-25-000131-index.htm,60628770817,https://finance.yahoo.com/quote/COR/history (month-end close 2025-09-01) x shares
COST,0000909832,2025,,https://www.sec.gov/Archives/edgar/data/909832/000090983225000101/0000909832-25-000101-index.htm,418059783550,https://finance.yahoo.com/quote/COST/history (month-end close 2025-08-01) x shares
COTY,0001024305,2025,,https://www.sec.gov/Archives/edgar/data/1024305/000102430525000030/0001024305-25-000030-index.htm,4056171726,https://finance.yahoo.com/quote/COTY/history (month-end close 2025-06-01) x shares
CPAY,0001175454,2025,,https://www.sec.gov/Archives/edgar/data/1175454/000117545426000018/0001175454-26-000018-index.htm,20478375077,https://finance.yahoo.com/quote/CPAY/history (month-end close 2025-12-01) x shares
CPB,0000016732,2025,,https://www.sec.gov/Archives/edgar/data/16732/000001673225000112/0000016732-25-000112-index.htm,9514901414,https://finance.yahoo.com/quote/CPB/history (month-end close 2025-08-01) x shares
CPRI,0001530721,2025,,https://www.sec.gov/Archives/edgar/data/1530721/000153072125000052/0001530721-25-000052-index.htm,2326573266,https://finance.yahoo.com/quote/CPRI/history (month-end close 2025-03-01) x shares
CPRI,0001530721,2026,,https://www.sec.gov/Archives/edgar/data/1530721/000153072126000047/0001530721-26-000047-index.htm,2029549859,https://finance.yahoo.com/quote/CPRI/history (month-end close 2026-03-01) x shares
CPRT,0000900075,2025,,https://www.sec.gov/Archives/edgar/data/900075/000162828025042946/0001628280-25-042946-index.htm,43867271936,https://finance.yahoo.com/quote/CPRT/history (month-end close 2025-07-01) x shares
CPT,0000906345,2025,,https://www.sec.gov/Archives/edgar/data/906345/000162828026007697/0001628280-26-007697-index.htm,11383175946,https://finance.yahoo.com/quote/CPT/history (month-end close 2025-12-01) x shares
CPWR,0000827099,2025,,https://www.sec.gov/Archives/edgar/data/827099/000165495426002627/0001654954-26-002627-index.htm,3097198,https://finance.yahoo.com/quote/CPWR/history (month-end close 2025-12-01) x shares
CR,0001944013,2025,,https://www.sec.gov/Archives/edgar/data/1944013/000194401326000095/0001944013-26-000095-index.htm,10636870173,https://finance.yahoo.com/quote/CR/history (month-end close 2025-12-01) x shares
CRH,0000849395,2025,,https://www.sec.gov/Archives/edgar/data/849395/000162828026009043/0001628280-26-009043-index.htm,83397704126,https://finance.yahoo.com/quote/CRH/history (month-end close 2025-12-01) x shares
CRL,0001100682,2025,,https://www.sec.gov/Archives/edgar/data/1100682/000110068226000022/0001100682-26-000022-index.htm,9819961334,https://finance.yahoo.com/quote/CRL/history (month-end close 2025-12-01) x shares
CRM,0001108524,2025,,https://www.sec.gov/Archives/edgar/data/1108524/000110852426000060/0001108524-26-000060-index.htm,315389111267,https://finance.yahoo.com/quote/CRM/history (month-end close 2025-01-01) x shares
CRM,0001108524,2026,,https://www.sec.gov/Archives/edgar/data/1108524/000110852425000030/0001108524-25-000030-index.htm,202949233582,https://finance.yahoo.com/quote/CRM/history (month-end close 2026-01-01) x shares
