cik,fiscal_year,shares_sec,shares_url,revenue_url,net_income_url,total_assets_url
0001285785,2019,378764442,https://www.sec.gov/Archives/edgar/data/1285785/000161803420000003/0001618034-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803420000003/0001618034-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803420000003/0001618034-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803420000003/0001618034-20-000003-index.htm
0001285785,2020,379093342,https://www.sec.gov/Archives/edgar/data/1285785/000161803421000003/0001618034-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803421000003/0001618034-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803421000003/0001618034-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803421000003/0001618034-21-000003-index.htm
0001285785,2021,368309275,https://www.sec.gov/Archives/edgar/data/1285785/000161803422000004/0001618034-22-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803422000004/0001618034-22-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803422000004/0001618034-22-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803422000004/0001618034-22-000004-index.htm
0001285785,2022,336486715,https://www.sec.gov/Archives/edgar/data/1285785/000161803423000003/0001618034-23-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803423000003/0001618034-23-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803423000003/0001618034-23-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803423000003/0001618034-23-000003-index.htm
0001285785,2023,321688938,https://www.sec.gov/Archives/edgar/data/1285785/000161803424000004/0001618034-24-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803424000004/0001618034-24-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803424000004/0001618034-24-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803424000004/0001618034-24-000004-index.htm
0001285785,2024,316939231,https://www.sec.gov/Archives/edgar/data/1285785/000161803425000003/0001618034-25-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803425000003/0001618034-25-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803425000003/0001618034-25-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000161803425000003/0001618034-25-000003-index.htm
0001285785,2025,317505258,https://www.sec.gov/Archives/edgar/data/1285785/000128578526000017/0001285785-26-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000128578526000017/0001285785-26-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000128578526000017/0001285785-26-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1285785/000128578526000017/0001285785-26-000017-index.htm
0001285785,2026,317846644,https://www.sec.gov/Archives/edgar/data/1285785/000128578526000067/0001285785-26-000067-index.htm,,,
0001286681,2011,57770796,https://www.sec.gov/Archives/edgar/data/1286681/000119312512083193/0001193125-12-083193-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312512083193/0001193125-12-083193-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312512083193/0001193125-12-083193-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312512083193/0001193125-12-083193-index.htm
0001286681,2012,56442532,https://www.sec.gov/Archives/edgar/data/1286681/000119312513081957/0001193125-13-081957-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312513081957/0001193125-13-081957-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312513081957/0001193125-13-081957-index.htm,https://www.sec.gov/Archives/edgar/data/1286681/000119312513081957/0001193125-13-081957-index.htm
