id,company_name,company_number,start_date,end_date,entry_type,exit_type,exit_name,source_url
276,EMI Group plc,00229231,1996-08-17,2002-09-23,added,removed,EMI Group,https://find-and-update.company-information.service.gov.uk/company/00229231
154,Thorn plc,03182775,1996-08-17,1996-09-23,added,removed,Thorn,https://find-and-update.company-information.service.gov.uk/company/03182775
197,LucasVarity,03207774,1996-09-23,1999-03-29,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03207774
287,Hays,02150950,1996-12-23,2003-06-23,added,removed,,https://find-and-update.company-information.service.gov.uk/company/02150950
467,Centrica,03033654,1997-02-14,2020-06-22,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03033654
190,British Land,00621920,1997-03-24,1998-12-21,added,removed,British Land Co,https://find-and-update.company-information.service.gov.uk/company/00621920
348,Alliance & Leicester,03263713,1997-06-23,2008-06-23,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03263713
549,Diageo,00023307,1997-12-17,,added,current,,https://find-and-update.company-information.service.gov.uk/company/00023307
550,Amvescap,00308372,1997-12-22,,added,exit_unresolved,,https://find-and-update.company-information.service.gov.uk/company/00308372
236,Allied Zurich,03525388,1998-09-08,2000-10-17,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03525388
551,British American Tobacco,03407696,1998-09-08,,added,current,,https://find-and-update.company-information.service.gov.uk/company/03407696
207,Securicor,00057379,1998-09-21,1999-11-11,added,removed,Securicor Plc,https://find-and-update.company-information.service.gov.uk/company/00057379
261,Telewest Communications,SC080891,1998-09-21,2001-09-24,added,removed,,https://find-and-update.company-information.service.gov.uk/company/SC080891
193,Gallaher Group,03299793,1998-12-21,1999-03-22,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03299793
311,Daily Mail & General Trust,00184594,1999-02-04,2006-06-19,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00184594
285,BTR Siebe,00166023,1999-02-04,2003-03-24,added,removed,Invensys,https://find-and-update.company-information.service.gov.uk/company/00166023
262,Energis,03438871,1999-03-22,2001-09-24,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03438871
555,AstraZeneca,02723534,1999-04-06,,added,current,,https://find-and-update.company-information.service.gov.uk/company/02723534
556,Anglo American,03564138,1999-06-21,,added,current,,https://find-and-update.company-information.service.gov.uk/company/03564138
557,Sage Group,02231246,1999-09-20,,added,current,,https://find-and-update.company-information.service.gov.uk/company/02231246
235,Corus Group,03811373,1999-10-06,2000-09-18,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03811373
273,Logica Plc,01631639,1999-11-11,2002-06-24,added,removed,Logica,https://find-and-update.company-information.service.gov.uk/company/01631639
221,Wolseley Plc,00029846,1999-11-24,2000-03-20,added,removed,Wolseley,https://find-and-update.company-information.service.gov.uk/company/00029846
259,CMG,00930965,1999-12-20,2001-09-24,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00930965
286,Capita Group,02081330,2000-03-20,2003-06-23,added,removed,,https://find-and-update.company-information.service.gov.uk/company/02081330
268,Celltech Group,02159282,2000-03-20,2002-03-18,added,removed,Celltech,https://find-and-update.company-information.service.gov.uk/company/02159282
302,Allied Domecq,03771147,2000-05-12,2005-07-26,added,removed,,https://find-and-update.company-information.service.gov.uk/company/03771147
231,Associated British Foods,00293262,2000-05-30,2000-09-18,added,removed,,https://find-and-update.company-information.service.gov.uk/company/00293262
249,Ocean Group (now Exel),00073975,2000-06-19,2001-03-19,added,removed,Exel,https://find-and-update.company-information.service.gov.uk/company/00073975
