symbol,company_name,cik,sector,sub_industry,hq,founded,sp_entry_date,sp_exit_date
CCK,"CROWN HOLDINGS, INC.",0001219601,Industrials,,,,1996-01-02,2000-12-11
CCL,Carnival Corporation,0000815097,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1972,1998-12-22,
CCTYQ,,0000104599,Consumer Discretionary,,,,1996-01-02,2008-03-31
CDAY,,0001725057,Information Technology,,,,2021-09-20,2026-02-09
CDNS,Cadence Design Systems,0000813672,Information Technology,Application Software,"San Jose, California",1988,2017-09-18,
CDW,CDW Corporation,0001402057,Information Technology,Technology Distributors,"Vernon Hills, Illinois",1984,2019-09-23,
CE,Celanese Corp,0001306830,Materials,,,,2001-04-02,2025-03-24
CEG,Constellation Energy,0001868275,Utilities,Electric Utilities,"Baltimore, Maryland",1999,1996-01-02,2012-03-13
CELG,,0000816284,Health Care,,,,2006-11-06,2019-11-21
CEN,,0000109758,Industrials,,,,1996-01-02,2001-04-02
CEPH,,0000873364,Health Care,,,,2008-11-17,2011-10-14
CERN,,0000804753,Information Technology,,,,2010-04-30,2022-06-08
CF,CF Industries,0001324404,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",1946,2000-06-19,2004-09-01
CFC,,0000025191,Financials,,,,1997-06-18,2008-07-01
CFG,Citizens Financial Group,0000759944,Financials,Regional Banks,"Providence, Rhode Island",1828,2016-02-01,
CFN,,0001457543,Health Care,,,,2009-09-01,2015-03-17
CG,Carlyle Group Inc.,0001527166,Financials,,,,1996-01-02,2000-11-02
CGP,,0000021267,Energy,,,,1996-01-02,2001-01-30
CHD,Church & Dwight,0000313927,Consumer Staples,Household Products,"Ewing, New Jersey",1847,2015-12-29,
CHIR,,0000706539,Health Care,,,,2000-11-24,2006-04-20
CHK,Expand Energy,0000895126,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",1989,2006-03-03,2018-03-19
CHRS,"Coherus Oncology, Inc.",0001512762,Health Care,,,,1996-01-02,1998-04-08
CHRW,C.H. Robinson,0001043277,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",1905,2007-03-02,
CHTR,Charter Communications,0001091667,Communication Services,Cable & Satellite,"Stamford, Connecticut",1993,2016-09-08,
CI,Cigna,0001739940,Health Care,Health Care Services,"Bloomfield, Connecticut",1982,1996-01-02,
CIEN,Ciena,0000936395,Information Technology,Communications Equipment,"Hanover, Maryland",1992,2001-08-30,2009-12-21
CIN,,0000899652,Utilities,,,,1996-01-02,2006-04-03
CINF,Cincinnati Financial,0000020286,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1950,1997-12-18,
CIT.A,,0000020388,Financials,,,,2000-07-17,2001-06-04
CITGQ,,0001171825,Financials,,,,2004-10-27,2009-07-27
CL,Colgate-Palmolive,0000021665,Consumer Staples,Household Products,"New York City, New York",1806,1996-01-02,
CLF,CLEVELAND-CLIFFS INC.,0000764065,Materials,,,,2009-12-21,2014-04-02
CLX,Clorox,0000021076,Consumer Staples,Household Products,"Oakland, California",1913,1996-01-02,
CMA,,0000028412,Financials,,,,1996-01-02,2024-06-24
CMCSA,Comcast,0001166691,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",1963,1996-01-02,2015-12-14
CME,CME Group,0001156375,Financials,Financial Exchanges & Data,"Chicago, Illinois",1848,2006-08-11,
CMG,Chipotle Mexican Grill,0001058090,Consumer Discretionary,Restaurants,"Newport Beach, California",1993,2011-04-28,
CMI,Cummins,0000026172,Industrials,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",1919,1996-01-02,
CMS,CMS Energy,0000811156,Utilities,Multi-Utilities,"Jackson, Michigan",1886,1999-05-03,
CMVT,,0000803014,Information Technology,,,,1999-10-27,2007-02-01
CMX,,0001000736,Consumer Staples,,,,2004-03-25,2007-03-23
CNC,Centene Corporation,0001071739,Health Care,Managed Health Care,"St. Louis, Missouri",1984,1997-01-15,2002-07-25
CNG,,0000023738,Energy,,,,1996-01-02,2000-01-31
CNP,CenterPoint Energy,0001130310,Utilities,Multi-Utilities,"Houston, Texas",1882,1996-01-02,
CNX,CNX Resources Corp,0001070412,Energy,,,,2006-06-28,2016-03-04
CNXT,,0001069353,Information Technology,,,,2000-01-31,2002-06-26
COC.B,,0001066806,Energy,,,,1999-08-09,2002-09-03
COF,Capital One,0000927628,Financials,Consumer Finance,"Tysons Corner, Virginia",1994,1998-07-01,
COG,,0000858470,Energy,,,,2008-06-23,2026-05-07
COHR,Coherent Corp.,0000820318,Information Technology,Electronic Components,"Saxonburg, Pennsylvania",1971,2026-03-23,
COIN,Coinbase,0001679788,Financials,Financial Exchanges & Data,"New York City, New York",2012,2025-05-19,
COL,,0001137411,Industrials,,,,2001-07-02,2018-11-27
COMS,,0000738076,Information Technology,,,,1996-01-02,2000-07-28
COO,Cooper Companies (The),0000711404,Health Care,Health Care Supplies,"San Ramon, California",1958,2016-09-23,
COP,ConocoPhillips,0001163165,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2002,1996-01-02,
COR,Cencora,0001140859,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",1985,2001-08-30,2023-08-30
COST,Costco,0000909832,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",1976,1996-01-02,
COTY,COTY INC.,0001024305,Consumer Staples,,,,2016-10-03,2020-09-21
COV,,0001385187,Health Care,,,,1996-01-02,2015-01-27
CPAY,Corpay,0001175454,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",2000,2018-06-20,2024-03-25
CPB,Campbell's Company (The),0000016732,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1869,1996-01-02,
CPGX,,0001629995,Energy,,,,2015-07-02,2016-07-01
CPNLQ,,0000916457,Utilities,,,,2000-12-01,2005-12-02
CPQ,,0000714154,Information Technology,,,,1996-01-02,2002-05-06
CPRI,Capri Holdings Ltd,0001530721,Consumer Discretionary,,,,2016-01-04,2020-05-12
CPRT,Copart,0000900075,Industrials,Diversified Support Services,"Dallas, Texas",1982,2018-07-02,
CPT,Camden Property Trust,0000906345,Real Estate,Multi-Family Residential REITs,"Houston, Texas",1981,2022-04-04,
CPWR,Ocean Thermal Energy Corp,0000859014,Information Technology,,,,1999-01-04,2012-01-03
CR,Crane Co,0001944013,Industrials,,,,1996-01-02,2004-12-20
