symbol,cik,fiscal_year,value,source_url
LDOS,0001336920,2017,8990000000,https://www.sec.gov/Archives/edgar/data/1336920/000133692018000008/0001336920-18-000008-index.htm
LDOS,0001336920,2018,8770000000,https://www.sec.gov/Archives/edgar/data/1336920/000133692019000004/0001336920-19-000004-index.htm
ORCL,0001341439,2009,47416000000,
ORCL,0001341439,2010,61578000000,https://www.sec.gov/Archives/edgar/data/1341439/000119312510151896/0001193125-10-151896-index.htm
ORCL,0001341439,2011,73535000000,https://www.sec.gov/Archives/edgar/data/1341439/000119312511174819/0001193125-11-174819-index.htm
ORCL,0001341439,2012,78327000000,https://www.sec.gov/Archives/edgar/data/1341439/000119312512284007/0001193125-12-284007-index.htm
ORCL,0001341439,2013,81812000000,https://www.sec.gov/Archives/edgar/data/1341439/000119312513272832/0001193125-13-272832-index.htm
ORCL,0001341439,2014,90266000000,https://www.sec.gov/Archives/edgar/data/1341439/000119312514251351/0001193125-14-251351-index.htm
ORCL,0001341439,2015,110903000000,https://www.sec.gov/Archives/edgar/data/1341439/000119312515235239/0001193125-15-235239-index.htm
ORCL,0001341439,2016,112180000000,https://www.sec.gov/Archives/edgar/data/1341439/000119312516628942/0001193125-16-628942-index.htm
ORCL,0001341439,2017,134991000000,https://www.sec.gov/Archives/edgar/data/1341439/000119312517214833/0001193125-17-214833-index.htm
ORCL,0001341439,2018,137851000000,https://www.sec.gov/Archives/edgar/data/1341439/000119312518201034/0001193125-18-201034-index.htm
ORCL,0001341439,2019,108709000000,https://www.sec.gov/Archives/edgar/data/1341439/000156459019023119/0001564590-19-023119-index.htm
ORCL,0001341439,2020,115438000000,https://www.sec.gov/Archives/edgar/data/1341439/000156459020030125/0001564590-20-030125-index.htm
ORCL,0001341439,2022,109297000000,https://www.sec.gov/Archives/edgar/data/1341439/000156459022023675/0001564590-22-023675-index.htm
ORCL,0001341439,2023,134384000000,https://www.sec.gov/Archives/edgar/data/1341439/000095017023028914/0000950170-23-028914-index.htm
ORCL,0001341439,2024,140976000000,https://www.sec.gov/Archives/edgar/data/1341439/000095017024075605/0000950170-24-075605-index.htm
ORCL,0001341439,2025,168361000000,https://www.sec.gov/Archives/edgar/data/1341439/000095017025087926/0000950170-25-087926-index.htm
ORCL,0001341439,2026,261759000000,https://www.sec.gov/Archives/edgar/data/1341439/000119312526277521/0001193125-26-277521-index.htm
EPAM,0001352010,2012,350814000,https://www.sec.gov/Archives/edgar/data/1352010/000119312513101372/0001193125-13-101372-index.htm
EPAM,0001352010,2013,432877000,https://www.sec.gov/Archives/edgar/data/1352010/000135201014000007/0001352010-14-000007-index.htm
EPAM,0001352010,2014,594026000,https://www.sec.gov/Archives/edgar/data/1352010/000135201015000006/0001352010-15-000006-index.htm
EPAM,0001352010,2015,778536000,https://www.sec.gov/Archives/edgar/data/1352010/000135201016000030/0001352010-16-000030-index.htm
EPAM,0001352010,2016,925811000,https://www.sec.gov/Archives/edgar/data/1352010/000135201017000006/0001352010-17-000006-index.htm
EPAM,0001352010,2017,1250256000,https://www.sec.gov/Archives/edgar/data/1352010/000135201018000011/0001352010-18-000011-index.htm
EPAM,0001352010,2018,1611802000,https://www.sec.gov/Archives/edgar/data/1352010/000135201019000008/0001352010-19-000008-index.htm
EPAM,0001352010,2019,2244208000,https://www.sec.gov/Archives/edgar/data/1352010/000135201020000012/0001352010-20-000012-index.htm
EPAM,0001352010,2020,2721332000,https://www.sec.gov/Archives/edgar/data/1352010/000135201021000010/0001352010-21-000010-index.htm
ON,0001097864,2012,3328400000,https://www.sec.gov/Archives/edgar/data/1097864/000119312513076823/0001193125-13-076823-index.htm
WU,0001365135,2021,8823500000,https://www.sec.gov/Archives/edgar/data/1365135/000095017022001962/0000950170-22-001962-index.htm
